Date,Frequency,WiFiState,RSSIlevel,ScreenState,Battery
638180,1482000,3,-52,255,84
638280,1586000,3,-52,255,84
638381,1586000,3,-52,255,84
638481,1586000,3,-52,255,84
638582,546000,3,-52,255,84
638683,757000,3,-52,255,84
638783,546000,3,-52,255,84
638884,546000,3,-52,255,84
638985,546000,3,-52,255,84
639086,546000,3,-52,255,84
639186,1014000,3,-52,255,84
639287,1248000,3,-52,255,84
639388,1248000,3,-52,255,84
639489,546000,3,-52,255,84
639589,676000,3,-52,255,84
639690,676000,3,-52,255,84
639791,902000,3,-52,255,84
639891,1144000,3,-52,255,84
639992,757000,3,-52,255,84
640092,676000,3,-52,255,84
640193,902000,3,-52,255,84
640296,1014000,3,-52,255,84
640396,1248000,3,-52,255,84
640497,676000,3,-52,255,84
640598,757000,3,-52,255,84
640699,676000,3,-52,255,84
640800,757000,3,-52,255,84
640901,1014000,3,-52,255,84
641001,1248000,3,-52,255,84
641101,1248000,3,-52,255,84
641202,1586000,3,-52,255,84
641303,1586000,3,-52,255,84
641403,1482000,3,-52,255,84
641504,1248000,3,-52,255,84
641604,1482000,3,-52,255,84
641705,676000,3,-52,255,84
641806,546000,3,-52,255,84
641907,676000,3,-52,255,84
642007,1352000,3,-52,255,84
642108,1586000,3,-52,255,84
642208,1248000,3,-52,255,84
642309,839000,3,-52,255,84
642410,1352000,3,-52,255,84
642510,1586000,3,-52,255,84
642612,757000,3,-52,255,84
642716,546000,3,-52,255,84
642816,676000,3,-52,255,84
642917,546000,3,-52,255,84
643018,546000,3,-52,255,84
643119,546000,3,-52,255,84
643219,1144000,3,-52,255,84
643321,546000,3,-52,255,84
643421,1248000,3,-52,255,84
643522,1586000,3,-52,255,84
643622,1586000,3,-52,255,84
643723,676000,3,-52,255,84
643824,757000,3,-52,255,84
643874,757000,3,-52,255,84
643975,546000,3,-52,255,84
644076,902000,3,-52,255,84
644176,839000,3,-52,255,84
644277,902000,3,-52,255,84
644377,902000,3,-52,255,84
644477,1248000,3,-52,255,84
644578,1014000,3,-52,255,84
644678,1014000,3,-52,255,84
644780,546000,3,-52,255,84
644881,676000,3,-52,255,84
644981,676000,3,-52,255,84
645082,546000,3,-52,255,84
645183,839000,3,-52,255,84
645284,546000,3,-52,255,84
645384,1014000,3,-52,255,84
645485,1144000,3,-52,255,84
645585,1248000,3,-52,255,84
645686,546000,3,-52,255,84
645787,546000,3,-52,255,84
645887,546000,3,-52,255,84
645988,757000,3,-52,255,84
646088,1014000,3,-52,255,84
646190,1482000,3,-52,255,84
646290,1586000,3,-52,255,84
646390,1586000,3,-52,255,84
646491,1586000,3,-52,255,84
646591,1586000,3,-52,255,84
646692,1586000,3,-52,255,84
646792,1586000,3,-52,255,84
646893,1586000,3,-52,255,84
646994,1586000,3,-52,255,84
647094,757000,3,-52,255,84
647195,902000,3,-52,255,84
647296,1352000,3,-52,255,84
647397,1586000,3,-52,255,84
647497,1482000,3,-52,255,84
647598,1586000,3,-52,255,84
647698,1586000,3,-52,255,84
647798,1586000,3,-52,255,84
647899,1014000,3,-52,255,84
648000,546000,3,-52,255,84
648100,902000,3,-52,255,84
648201,1014000,3,-52,255,84
648302,1144000,3,-52,255,84
648402,1586000,3,-52,255,84
648503,546000,3,-52,255,84
648604,546000,3,-52,255,84
648705,902000,3,-52,255,84
648805,1586000,3,-52,255,84
648905,1014000,3,-52,255,84
649006,902000,3,-52,255,84
649106,1586000,3,-52,255,84
649207,1586000,3,-52,255,84
649307,1586000,3,-52,255,84
649407,1586000,3,-52,255,84
649508,546000,3,-52,255,84
649609,546000,3,-52,255,84
649710,546000,3,-52,255,84
649811,546000,3,-52,255,84
649912,546000,3,-52,255,84
650012,546000,3,-52,255,84
650113,546000,3,-52,255,84
650213,1014000,3,-52,255,84
650314,1482000,3,-52,255,84
650414,1586000,3,-52,255,84
650515,1482000,3,-52,255,84
650615,1014000,3,-52,255,84
650716,676000,3,-52,255,84
650817,757000,3,-52,255,84
650918,902000,3,-52,255,84
651018,1144000,3,-52,255,84
651119,1014000,3,-52,255,84
651219,1014000,3,-52,255,84
651320,676000,3,-52,255,84
651420,1144000,3,-52,255,84
651521,1144000,3,-52,255,84
651621,902000,3,-52,255,84
651722,676000,3,-52,255,84
651822,1586000,3,-52,255,84
651924,546000,3,-52,255,84
652024,676000,3,-52,255,84
652124,839000,3,-52,255,84
652225,1144000,3,-52,255,84
652332,902000,3,-52,255,84
652431,1248000,3,-52,255,84
652532,757000,3,-52,255,84
652632,676000,3,-52,255,84
652733,757000,3,-52,255,84
652833,676000,3,-52,255,84
652934,676000,3,-52,255,84
653035,902000,3,-52,255,84
653135,676000,3,-52,255,84
653236,1014000,3,-52,255,84
653336,839000,3,-52,255,84
653437,1144000,3,-52,255,84
653538,1144000,3,-52,255,84
653640,676000,3,-52,255,84
653742,676000,3,-52,255,84
653842,676000,3,-52,255,84
653943,902000,3,-52,255,84
654043,839000,3,-52,255,84
654144,839000,3,-52,255,84
654244,1014000,3,-52,255,84
654345,839000,3,-52,255,84
654447,1144000,3,-52,255,84
654548,1144000,3,-52,255,84
654648,902000,3,-52,255,84
654749,546000,3,-52,255,84
654849,1586000,3,-52,255,84
654951,676000,3,-52,255,84
655051,902000,3,-52,255,84
655152,1248000,3,-52,255,84
655252,757000,3,-52,255,84
655353,1352000,3,-52,255,84
655453,1352000,3,-52,255,84
655554,676000,3,-52,255,84
655655,757000,3,-52,255,84
655755,757000,3,-52,255,84
655856,676000,3,-52,255,84
655957,676000,3,-52,255,84
656057,902000,3,-52,255,84
656158,902000,3,-52,255,84
656258,1586000,3,-52,255,84
656360,902000,3,-52,255,84
656461,1248000,3,-52,255,84
656562,1248000,3,-52,255,84
656663,676000,3,-52,255,84
656713,676000,3,-52,255,84
656814,757000,3,-52,255,84
656915,546000,3,-52,255,84
657018,1248000,3,-52,255,84
657116,1586000,3,-52,255,84
657217,1586000,3,-52,255,84
657318,1586000,3,-52,255,84
657419,1586000,3,-52,255,84
657519,676000,3,-52,255,84
657620,546000,3,-52,255,84
657721,757000,3,-52,255,84
657822,902000,3,-52,255,84
657922,1586000,3,-52,255,84
658022,1586000,3,-52,255,84
658123,676000,3,-52,255,84
658223,902000,3,-52,255,84
658325,546000,3,-52,255,84
658425,902000,3,-52,255,84
658525,1248000,3,-52,255,84
658626,676000,3,-52,255,84
658726,546000,3,-52,255,84
658827,546000,3,-52,255,84
658928,546000,3,-52,255,84
659029,546000,3,-52,255,84
659130,902000,3,-52,255,84
659230,902000,3,-52,255,84
659331,676000,3,-52,255,84
659432,839000,3,-52,255,84
659532,839000,3,-52,255,84
659633,546000,3,-52,255,84
659734,546000,3,-52,255,84
659835,546000,3,-52,255,84
659935,902000,3,-52,255,84
660036,676000,3,-52,255,84
660136,546000,3,-52,255,84
660237,546000,3,-52,255,84
660338,546000,3,-52,255,84
660438,839000,3,-52,255,84
660539,546000,3,-52,255,84
660640,546000,3,-52,255,84
660741,546000,3,-52,255,84
660842,546000,3,-52,255,84
660943,546000,3,-52,255,84
661044,676000,3,-52,255,84
661145,546000,3,-52,255,84
661245,546000,3,-52,255,84
661346,546000,3,-52,255,84
661447,676000,3,-52,255,84
661547,546000,3,-52,255,84
661648,546000,3,-52,255,84
661749,546000,3,-52,255,84
661850,546000,3,-52,255,84
661951,676000,3,-52,255,84
662051,546000,3,-52,255,84
662152,546000,3,-52,255,84
662253,902000,3,-52,255,84
662354,546000,3,-52,255,84
662456,902000,3,-52,255,84
662556,676000,3,-52,255,84
662657,902000,3,-52,255,84
662758,676000,3,-52,255,84
662858,546000,3,-52,255,84
662959,676000,3,-52,255,84
663060,757000,3,-52,255,84
663162,676000,3,-52,255,84
663262,1248000,3,-52,255,84
663363,1014000,3,-52,255,84
663464,546000,3,-52,255,84
663565,902000,3,-52,255,84
663668,1248000,3,-52,255,84
663769,1248000,3,-52,255,84
663870,839000,3,-52,255,84
663971,676000,3,-52,255,84
664072,676000,3,-52,255,84
664173,839000,3,-52,255,84
664273,1144000,3,-52,255,84
664373,1248000,3,-52,255,84
664474,1248000,3,-52,255,84
664574,839000,3,-52,255,84
664675,902000,3,-52,255,84
664775,902000,3,-52,255,84
664876,902000,3,-52,255,84
664977,546000,3,-52,255,84
665077,676000,3,-52,255,84
665178,902000,3,-52,255,84
665279,1248000,3,-52,255,84
665379,1248000,3,-52,255,84
665479,1482000,3,-52,255,84
665580,1586000,3,-52,255,84
665680,1586000,3,-52,255,84
665786,839000,3,-52,255,84
665886,1014000,3,-52,255,84
665987,676000,3,-52,255,84
666088,676000,3,-52,255,84
666188,902000,3,-52,255,84
666289,1248000,3,-52,255,84
666390,902000,3,-52,255,84
666440,1482000,3,-52,255,84
